"State","votesDem","percD","votesRep","percR","electoralDem","electoralRep","Pop"
"Alabama",729547,"34.36",1318255,"62.08",0,9,4908621
"Alaska",116454,"36.55",163387,"51.28",0,3,734002
"Arizona",1161167,"45.13",1252401,"48.67",0,11,7378494
"Arkansas",380494,"33.65",684872,"60.57",0,6,3038999
"California",8753788,"61.73",4483810,"31.62",55,0,39937489
"Colorado",1338870,"48.16",1202484,"43.25",9,0,5845526
"Connecticut",897572,"54.57",673215,"40.93",7,0,3563077
"Delaware",235603,"53.09",185127,"41.72",3,0,982895
"Washington DC",282830,"90.48",12723,"4.07",3,0,720687
"Florida",4504975,"47.82",4617886,"49.02",0,29,21992985
"Georgia",1877963,"45.64",2089104,"50.77",0,16,10736059
"Hawaii",266891,"62.22",128847,"30.03",3,0,1412687
"Idaho",189765,"27.49",409055,"59.26",0,4,1826156
"Illinois",3090729,"55.83",2146015,"38.76",20,0,12659682
"Indiana",1033126,"37.91",1557286,"56.82",0,11,6745354
"Iowa",653669,"41.74",800983,"51.15",0,6,3179849
"Kansas",427005,"36.05",671018,"56.65",0,6,2910357
"Kentucky",628854,"32.68",1202971,"62.52",0,8,4499692
"Louisiana",780154,"38.45",1178638,"58.09",0,8,4645184
"Maine",357735,"47.83",335593,"44.87",2,0,1345790
"Maryland",1677928,"60.33",943169,"33.91",10,0,6083116
"Massachusetts",1995196,"60.01",1090893,"32.81",11,0,6976597
"Michigan",2268839,"47.27",2279543,"47.50",0,16,10045029
"Minnesota",1367716,"46.44",1322951,"44.92",10,0,5700671
"Mississippi",485131,"40.11",700714,"57.94",0,6,2989260
"Missouri",1071068,"38.14",1594511,"56.77",0,10,6169270
"Montana",177709,"35.75",279240,"56.17",0,3,1086759
"Nebraska",284494,"33.70",495961,"58.75",0,2,1952570
"Nevada",539260,"47.92",512058,"45.50",6,0,3139658
"New Hampshire",348526,"46.98",345790,"46.61",4,0,1371246
"New Jersey",2148278,"54.99",1601933,"41.00",14,0,8936574
"New Mexico",385234,"48.26",319667,"40.04",5,0,2096640
"New York",4556124,"59.01",2819534,"36.52",29,0,19440469
"North Carolina",2189316,"46.17",2362631,"49.83",0,15,10611862
"North Dakota",93758,"27.23",216794,"62.96",0,3,761723
"Ohio",2394164,"43.56",2841005,"51.69",0,18,11747694
"Oklahoma",420375,"28.93",949136,"65.32",0,7,3954821
"Oregon",1002106,"50.07",782403,"39.09",7,0,4301089
"Pennsylvania",2926441,"47.46",2970733,"48.18",0,20,12820878
"Rhode Island",252525,"54.41",180543,"38.90",4,0,1056161
"South Carolina",855373,"40.67",1155389,"54.94",0,9,5210095
"South Dakota",117458,"31.74",227721,"61.53",0,3,903027
"Tennessee",870695,"34.72",1522925,"60.72",0,11,6897576
"Texas",3877868,"43.24",4685047,"52.23",0,36,29472295
"Utah",310676,"27.46",515231,"45.54",0,6,3282115
"Vermont",178573,"56.68",95369,"30.27",3,0,628061
"Virginia",1981473,"49.73",1769443,"44.41",13,0,8626207
"Washington",1742718,"52.54",1221747,"36.83",8,0,7797095
"West Virginia",188794,"26.43",489371,"68.50",0,5,1778070
"Wisconsin",1382536,"46.45",1405284,"47.22",0,10,5851754
"Wyoming",55973,"21.63",174419,"67.40",0,3,567025
