Institution,Control,State,Category
Abilene Christian University,Private,TX,<a href="https://www.acu.edu/coronavirus/april-29-2020-news-release-about-plans-to-reopen-campus-in-fall-2020.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Academy of Art University,Private,CA,<a href="https://youtu.be/xxsrSGINzEU" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Adelphi University,Private,NY,<a href="https://health.adelphi.edu/au_news/covid-19-fall-2020-plans-for-adelphi-university-4-30-2020/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Adrian College,Private,MI,<a href="http://adrian.edu/news/ac-president-docking-says-campus-will-be-open-in-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Agnes Scott College,Private,GA,<a href="https://www.agnesscott.edu/coronavirus/updates/covid19-task-force-05-01.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Albany College of Pharmacy and Health Sciences,Private,NY,<a href="https://www.acphs.edu/sites/default/files/Coronavirus%20Update%20%23%2010%20-%204-17-20.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Albion College,Private,MI,<a href="https://www.albion.edu/news-and-events/recent-news/news-archive/735-academics/14873-albion-college-outlines-fall-2020-semester-academic-plan" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Allan Hancock College,Public,CA,<a href="https://www.hancockcollege.edu/news/newsreleases/05-11-2020%20Fall%20Classes.php" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Allegheny College,Private,PA,<a href="https://www.post-gazette.com/news/education/2020/05/28/Allegheny-College-COVID-19-Hilary-Link-fall-classes-Pennsylvania-Meadville-health/stories/202005270073" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Alma College,Private,MI,<a href="https://www.alma.edu/live/news/2458-in-person-classes-to-resume-this-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
American University,Private,DC,<a href="https://www.american.edu/president/announcements/may-11-2020.cfm" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Amherst College,Private,MA,<a href="https://www.amherst.edu/news/covid-19" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Andrews University,Private,MI,<a href="https://www.andrews.edu/agenda/56103/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Angelo State University,Public,TX,<a href="https://www.angelo.edu/emergency-notifications/coronavirus-updates.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Anne Arundel Community College,Public,MD,<a href="https://www.thecampuscurrent.com/8993/front-page/showcase/classes-at-start-of-fall-semester-to-be-online/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Antioch College,Private,OH,<a href="https://antiochcollege.edu/novel-coronavirus/announcement/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Appalachian Bible College,Private,WV,<a href="https://abc.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
